Comment,Designator,Footprint,LibRef,Quantity,LCSC Part #

"ADS1115","ADC1, ADC2, ADC3, ADC4","TSSOP50P490X110-10N ADS1115","ADS1113","4","C37593"
"0.1uF","C1, C6, C11, C17","Cap 0603","C0603","4","C14663"
"C0603","C2, C3, C4, C5, C7, C8, C9, C10, C13, C14, C15, C19, C20, C21","Cap 0603","C0603","14","C96446"
"10uf","C12, C18","Cap 0603","C0603","2","C96446"
"UWX1C100MCL2GB","C16","FP-UWX1C100MCL2GB-MFG","CMP-00267-00203106-1","1","C250999"
"TVS","D1","DO-214AA P6SMB","TVS","1","C78395"
"kontakt 5p 5.08","J1, J2, J3, J4","Kontakt 5P 3.5","kontakt 5p 5.08","4","C880575"
"kontakt 2p 5.08","J6","Kontakt 2P 5.08","kontakt 2p 5.08","1","C669314"
"Solder jumper","JUMP1, JUMP2, JUMP3, JUMP4","jumper","Solder jumper","4",""
"AO3400A","Q1, Q2, Q3, Q4, Q5, Q7","FP-SOT23-MFG","CMP-83955-000006-1","6","C20917"
"AO3401A","Q6","AO-SOT-23-3L_V","CMP-2000-05778-1","1","C15127"
"10k","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R24, R25","Res 0603","R0603","12","C25804"
"9.1k ATS","R11","Res 0603","R0603","1","C23260"
"5.1k MTS","R12","Res 0603","R0603","1","C23186"
"3.3k HEX","R13","Res 0603","R0603","1","C22978"
"3.3k EVAP","R14","Res 0603","R0603","1","C22978"
"5.1k","R15","Res 0603","R0603","1","C23186"
"DTS_2","R16","Res 0603","R0603","1","C23186"
"DTS_3","R17","Res 0603","R0603","1","C23186"
"DTS_4","R18","Res 0603","R0603","1","C23186"
"DTS_5","R19, R26","Res 0603","R0603","2","C23186"
"DTS_6","R20, R27","Res 0603","R0603","2","C23186"
"DTS_7","R21, R28","Res 0603","R0603","2","C23186"
"DTS_8","R22, R29","Res 0603","R0603","2","C23186"
"100k","R23","Res 0603","R0603","1","C25803"
"ESP32 olimex PINOUT","U1","ESP32 OLIMEX POE","ESP32 olimex PINOUT","1",""
